Date/Time,Date/Time_clean,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CORE_ZN:Zone Air Temperature [C](TimeStep),ATTIC:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Air Temperature [C](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeatingWater:Facility [J](TimeStep) ,Month,Day,DistrictHeatingWater:Facility [J](TimeStep),DistrictCooling:Facility [W](TimeStep),DistrictHeatingWater:Facility [W](TimeStep),ASHP_cooling_COP,ASHP_heating_COP,ASHP_cooling_exergy_efficiency,ASHP_heating_exergy_efficiency,Cooling_demand_W_m2,Heating_demand_W_m2,Cooling_exergy_demand_W_m2,Heating_exergy_demand_W_m2,ASHP_cooling_exergy_efficiency_zero_filled,ASHP_heating_exergy_efficiency_zero_filled
 01/01  22:00:00,01/01 22:00:00,3.3,15.614779271926976,-0.2157902817445479,16.01525263559222,15.599999999999998,15.6,15.6,0.0,0.0,1,6,0.0,0.0,0.0,,,,,0.0,0.0,-0.0,0.0,0.0,0.0
 01/01  23:00:00,01/01 23:00:00,3.3,15.613818514944413,-0.3910251254254916,15.98524436785183,15.6,15.6,15.599999999999998,0.0,0.0,1,6,0.0,0.0,0.0,,,,,0.0,0.0,-0.0,0.0,0.0,0.0
 01/01  24:00:00,01/01 24:00:00,3.3,15.61290768755382,-0.4060911954709615,15.943591592380036,15.6,15.6,15.599999999999998,0.0,0.0,1,6,0.0,0.0,0.0,,,,,0.0,0.0,-0.0,0.0,0.0,0.0
 01/02  01:00:00,01/02 01:00:00,3.3,15.72752943340904,-0.2876212286006487,16.04017689754264,15.6,15.6,15.6,0.0,309633.5123614499,1,0,309633.5123614499,0.0,86.00930898929164,,2.829876203337791,,0.2145798473252707,0.0,0.16831567316886817,-0.0,0.00724095081577586,0.0,0.2145798473252707
 01/02  02:00:00,01/02 02:00:00,3.4,15.739653504245483,-0.0806315274118814,16.00250177675644,15.599999999999998,15.6,15.6,0.0,287463.0730688499,1,0,287463.0730688499,0.0,79.85085363023609,,2.835299108593556,,0.21404320612472194,0.0,0.15626390142903343,-0.0,0.006674667560662604,0.0,0.21404320612472194
 01/02  03:00:00,01/02 03:00:00,3.4,15.74805611745363,1.6854623778842612,15.80339760825466,15.599999999999996,15.599999999999998,15.599999999999996,0.0,1168235.532862753,1,0,1168235.532862753,0.0,324.5098702396536,,2.857725793720201,,0.21573624781217826,0.0,0.635048669744919,-0.0,0.027143196173450544,0.0,0.21573624781217826
 01/02  04:00:00,01/02 04:00:00,3.4,15.75134518047588,1.3790578279541263,15.93582732877094,15.599999999999998,15.6,15.6,0.0,475288.0363243355,1,0,475288.0363243355,0.0,132.02445453453763,,2.8401484946599163,,0.2144092973558849,0.0,0.258364881672285,-0.0,0.011045825467007416,0.0,0.2144092973558849
 01/02  05:00:00,01/02 05:00:00,3.5,15.762313153451236,0.8243429562967463,15.889557765772835,15.6,15.6,15.6,0.0,456080.8753724935,1,0,456080.8753724935,0.0,126.68913204791487,,2.8456334151266693,,0.21387207018327437,0.0,0.24792393747145766,-0.0,0.01052264241121829,0.0,0.21387207018327437
 01/02  06:00:00,01/02 06:00:00,3.5,15.784803360177683,2.1798678449177458,15.734037831487193,15.599999999999998,15.6,15.599999999999998,0.0,1147548.1366221718,1,0,1147548.1366221718,0.0,318.76337128393664,,2.8632122713234955,,0.21519326157296073,0.0,0.6238030749196412,-0.0,0.026522585793547188,0.0,0.21519326157296073
 01/02  07:00:00,01/02 07:00:00,4.0,21.967894434979897,2.1213794900854546,21.96661342410581,21.964089887543675,21.964227119251174,21.963815994565817,0.0,73182702.33176921,1,0,73182702.33176921,0.0,20328.528425491448,,3.4847377344008033,,0.25608111643523684,0.0,39.78185601857426,-0.0,2.422069968809683,0.0,0.25608111643523684
 01/02  08:00:00,01/02 08:00:00,4.6,21.99809419015329,1.738728110553749,21.99772048248792,21.99745668147079,21.997466020917788,21.997410720847498,0.0,91038831.70122068,1,0,91038831.70122068,0.0,25288.56436145019,,2.908297649229931,,0.20788709240177292,0.0,49.488384268982756,-0.0,2.9171917006367196,0.0,0.20788709240177292
 01/02  09:00:00,01/02 09:00:00,5.1,21.999981555374728,3.404539160478929,21.999971435519782,21.99996649633603,21.99996721644028,21.999965481522537,0.0,65303915.46303455,1,0,65303915.46303455,0.0,18139.976517509596,,3.7407331770136683,,0.26113750692473087,0.0,35.49897557242583,-0.0,2.032634490597581,0.0,0.26113750692473087
 01/02  10:00:00,01/02 10:00:00,5.7,21.99999927778436,4.07599130693756,21.999998653626957,21.999998367501234,21.99999839893504,21.999998299418884,0.0,50092598.27252424,1,0,50092598.27252424,0.0,13914.610631256734,,3.9030373886840755,,0.2646391090525301,0.0,27.230157791109068,-0.0,1.5038168843473234,0.0,0.2646391090525301
 01/02  11:00:00,01/02 11:00:00,6.2,21.999999989073427,4.974436551455993,21.999999974220483,21.99999996719535,21.99999996806297,21.999999965408023,0.0,42394313.36655882,1,0,42394313.36655882,0.0,11776.19815737745,,3.8966634405305602,,0.2576936534039523,0.0,23.04539756825333,-0.0,1.233668579841016,0.0,0.2576936534039523
 01/02  12:00:00,01/02 12:00:00,6.8,21.999999999786777,5.670280750281995,21.999999999318284,21.999999999102037,21.99999999913135,21.999999999041112,0.0,38748664.60302458,1,0,38748664.60302458,0.0,10763.517945284606,,3.8933633950054256,,0.249666097910585,0.0,21.063635900752654,-0.0,1.0847611915540571,0.0,0.249666097910585
