Date/Time,Date/Time_clean,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CORE_ZN:Zone Air Temperature [C](TimeStep),DistrictHeatingWater:Facility [W](TimeStep),Heating_demand_W_m2,Heating_exergy_demand_W_m2,ASHP_heating_COP,ASHP_heating_exergy_efficiency
 01/02  01:00:00,01/02 01:00:00,3.3,15.72752943340904,86.00930898929164,0.16831567316886817,0.00724095081577586,2.829876203337791,0.2145798473252707
 01/02  02:00:00,01/02 02:00:00,3.4,15.739653504245483,79.85085363023609,0.15626390142903343,0.006674667560662604,2.835299108593556,0.21404320612472194
 01/02  03:00:00,01/02 03:00:00,3.4,15.74805611745363,324.5098702396536,0.635048669744919,0.027143196173450544,2.857725793720201,0.21573624781217826
 01/02  04:00:00,01/02 04:00:00,3.4,15.75134518047588,132.02445453453763,0.258364881672285,0.011045825467007416,2.8401484946599163,0.2144092973558849
 01/02  05:00:00,01/02 05:00:00,3.5,15.762313153451236,126.68913204791487,0.24792393747145766,0.01052264241121829,2.8456334151266693,0.21387207018327437
 01/02  06:00:00,01/02 06:00:00,3.5,15.784803360177683,318.76337128393664,0.6238030749196412,0.026522585793547188,2.8632122713234955,0.21519326157296073
 01/02  07:00:00,01/02 07:00:00,4.0,21.967894434979897,20328.528425491448,39.78185601857426,2.422069968809683,3.4847377344008033,0.25608111643523684
 01/02  08:00:00,01/02 08:00:00,4.6,21.99809419015329,25288.56436145019,49.488384268982756,2.9171917006367196,2.908297649229931,0.20788709240177292
 01/02  09:00:00,01/02 09:00:00,5.1,21.999981555374728,18139.976517509596,35.49897557242583,2.032634490597581,3.7407331770136683,0.26113750692473087
 01/02  10:00:00,01/02 10:00:00,5.7,21.99999927778436,13914.610631256734,27.230157791109068,1.5038168843473234,3.9030373886840755,0.2646391090525301
 01/02  11:00:00,01/02 11:00:00,6.2,21.999999989073427,11776.19815737745,23.04539756825333,1.233668579841016,3.8966634405305602,0.2576936534039523
 01/02  12:00:00,01/02 12:00:00,6.8,21.999999999786777,10763.517945284606,21.063635900752654,1.0847611915540571,3.8933633950054256,0.249666097910585
