Date/Time,Date/Time_clean,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CORE_ZN:Zone Air Temperature [C](TimeStep),DistrictCooling:Facility [W](TimeStep),Cooling_demand_W_m2,Cooling_exergy_demand_W_m2,ASHP_cooling_COP,ASHP_cooling_exergy_efficiency
 04/04  12:00:00,04/04 12:00:00,17.2,21.99999999999999,2277.6910107994154,4.4573209604685236,-0.07248904153904455,2.631932557092361,0.011302190637593395
 04/04  13:00:00,04/04 13:00:00,17.6,22.0,3124.7827636553734,6.115034762534977,-0.09116094513011601,2.642060283470861,0.015001140217902165
 04/04  14:00:00,04/04 14:00:00,17.9,22.0,3592.064941078625,7.029481293695939,-0.09764822396799445,2.6435628921188856,0.01775282487627116
 04/04  15:00:00,04/04 15:00:00,18.3,22.0,4227.104066823472,8.272219308852195,-0.10370053004490258,2.644791672654938,0.021420314329076026
 04/04  16:00:00,04/04 16:00:00,17.2,21.999999999999996,4253.736028432704,8.324336650553237,-0.13537799736627373,2.687441539558281,0.01154056038617911
 04/04  17:00:00,04/04 17:00:00,16.2,21.999999999999996,2246.9361432053597,4.39713530959953,-0.08640821546900677,2.6694700131534344,0.002229931957168607
 04/05  13:00:00,04/05 13:00:00,16.1,22.0,3385.182166636159,6.62462263529581,-0.13242511790020398,2.707194607542865,0.0013250510536515412
 04/05  14:00:00,04/05 14:00:00,17.2,22.0,4109.587064097447,8.04224474383062,-0.13079036005552136,2.683829911745086,0.011525051133882054
 04/05  15:00:00,04/05 15:00:00,18.3,21.999999999999996,4345.131937323293,8.503193615114077,-0.10659602363517517,2.647703063487546,0.02144389384477628
 04/05  16:00:00,04/05 16:00:00,17.4,22.0,4702.000301296162,9.201566147350611,-0.14340912850351661,2.690581815953082,0.013415341117317738
 04/05  17:00:00,04/05 17:00:00,16.6,22.0,2982.3613551627222,5.836323591316482,-0.10678010297512737,2.67636128352896,0.005938604707415219
 04/07  15:00:00,04/07 15:00:00,16.2,22.0,3121.1058054143714,6.107839149538887,-0.12002529922861478,2.6958607536289656,0.0022519773651596144
 04/10  12:00:00,04/10 12:00:00,16.2,21.99999999999999,1654.7006876635576,3.2381618153885667,-0.06363319847282312,2.649973047014909,0.002213645238214692
 04/10  13:00:00,04/10 13:00:00,16.3,22.0,2446.7087424433657,4.788079730808935,-0.09246842102527814,2.671871736211473,0.003156114372316877
 04/10  14:00:00,04/10 14:00:00,16.4,22.0,3024.9232558723247,5.919614982137622,-0.11231524275782061,2.6853327641520734,0.004100847231503835
 04/10  15:00:00,04/10 15:00:00,16.5,22.0,3514.9949155196655,6.878659325870187,-0.12818101403451154,2.6952285199844552,0.005048214362495699
 04/12  15:00:00,04/12 15:00:00,16.0,22.0,3035.2205747529024,5.93976629110157,-0.12074740893311661,2.7011674638204357,0.0003877917650506776
 04/13  14:00:00,04/13 14:00:00,17.5,21.999999999999996,3513.244566665797,6.875233985647352,-0.1048231507213727,2.656692905718464,0.014165295674172667
 04/13  15:00:00,04/13 15:00:00,20.5,22.0,5080.100315808625,9.941487897864237,-0.05052424816803827,2.676751295013809,0.04204816375392634
 04/13  16:00:00,04/13 16:00:00,20.2,22.0,5407.240928654734,10.581684791887932,-0.06453339869692877,2.783776619109352,0.04084073861301821
 04/13  17:00:00,04/13 17:00:00,20.0,22.0,3051.1245640806933,5.970889557887854,-0.04046003427333793,2.549460787669463,0.0356394244835661
 04/13  18:00:00,04/13 18:00:00,19.7,22.0,1639.8707438125657,3.209140398850422,-0.025007700888890365,2.516369866008325,0.03256567145845309
 04/13  19:00:00,04/13 19:00:00,17.5,22.000000000000004,484.0510506390528,0.9472623300177159,-0.014442420752430055,2.5574753112401205,0.013636274589785873
 04/14  11:00:00,04/14 11:00:00,17.7,22.000000000000004,2968.9434457505126,5.810065451566561,-0.08464604926896911,2.6337633454302125,0.015865026503684095
 04/14  12:00:00,04/14 12:00:00,20.9,22.0,3811.5692520114444,7.45903963211633,-0.027799232916578754,2.536954066126811,0.04336217465192957
 04/14  13:00:00,04/14 13:00:00,20.3,22.000000000000004,4637.293639838255,9.07493862982046,-0.05226967870809646,2.579744654034105,0.038739699408014965
 04/14  14:00:00,04/14 14:00:00,19.7,22.0,4416.956881735178,8.643751236272365,-0.06735770910867862,2.5967995605880088,0.03360655461500612
 04/14  15:00:00,04/14 15:00:00,19.1,22.0,3874.2329655238054,7.5816692084614585,-0.07449378520934499,2.605645791284922,0.028313423204815277
 04/14  16:00:00,04/14 16:00:00,17.3,21.999999999999996,3083.2004378033316,6.0336603479517255,-0.0960806492812909,2.652344196044159,0.0123072651747049
 04/17  14:00:00,04/17 14:00:00,16.9,22.0,1641.9063598244245,3.213123991828619,-0.05552069238802659,2.6225790413888066,0.00854064550339632
 04/17  15:00:00,04/17 15:00:00,17.8,22.0,2232.8329166947256,4.369536040498485,-0.06217872732540619,2.6076101750562737,0.01660943604552552
 04/17  16:00:00,04/17 16:00:00,17.2,22.0,2155.123875465087,4.217463552769251,-0.06858826038723526,2.6280346115072555,0.01128545186365365
