T_bh,T_f_bh,T_f_bh_in,T_f_bh_out,Q_bh,Xin_g,Xout_g,Xc_g,Xin_GHE,Xout_GHE,Xc_GHE,Xin_HX,Xout_HX,Xc_HX,Xin_r,Xout_r,Xc_r,Xin_tank,Xout_tank,Xc_tank,Xin_mix,Xout_mix,Xc_mix,E_cmp,E_pmp,g_i,x1,x2,x3,x4,X_eff
288.15,285.9961868344572,284.80515037388824,287.1872232950262,19.94271449576631,69.20948983434452,69.20948983434452,0.0,277.27810926813464,47.7391110513706,229.53899821676404,47.7391110513706,49.6308099225633,-1.8916988711927019,1853.0192913355115,-941.8676690205192,2794.8869603560306,941.8676690205192,900.4952723998201,41.37239662069908,,,,1811.4571008467383,200,,73617.6449581787,109641.35169022538,83302.13787082894,72547.95454112138,0.4476830612100799
288.15,286.1274749640403,285.00903948468687,287.2459104433937,18.727083666293566,64.99074671627147,64.99074671627147,0.0,275.1648030074769,49.13041029477809,226.03439271269883,49.13041029477809,-62.077335977978606,111.2077462727567,1982.331874472103,-930.4012799386352,2912.7331544107383,930.4012799386352,900.4952723998201,29.90600753881506,,,,2054.583266741287,200,,67473.6091164527,111071.4911670479,82903.90780405307,69483.4506356194,0.3994065269992762
288.15,286.12423831538683,285.0040130027192,287.24446362805446,18.757052635307105,65.0947514673162,65.0947514673162,0.0,275.2139838958311,49.095872603594536,226.1181112922366,49.095872603594536,-59.44148377561303,108.53735637920757,1979.0287567344512,-930.6568122676717,2909.685569002123,930.6568122676717,900.4952723998201,30.161539867851616,,,,2048.589472938579,200,,67630.07517893608,111033.77121804756,82912.58901706684,69562.66549831891,0.4004711768142381
288.15,286.12431809155896,285.0041368942915,287.24449928882643,18.75631396704643,65.09218798211518,65.09218798211518,0.0,275.21276992409463,49.09672373610064,226.116046187994,49.09672373610064,-59.50652416854936,108.60324790465,1979.110100480185,-930.6504975879752,2909.76059806816,930.6504975879752,900.4952723998201,30.1552251881551,,,,2048.737206590714,200,,67626.22166838447,111034.69929389229,82912.3743857595,69560.71540504365,0.400444867350708
288.15,286.1243161252404,285.00413384061903,287.24449840986176,18.75633217369974,65.09225116675273,65.09225116675273,0.0,275.2127998448415,49.096702757346634,226.1160970874949,49.096702757346634,-59.50492110359023,108.60162386093685,1979.1080954783733,-930.6506532199439,2909.7587486983175,930.6506532199439,900.4952723998201,30.15538082012381,,,,2048.7335652600523,200,,67626.31665117595,111034.67641769722,82912.37967551296,69560.76347219889,0.4004455157833175
288.15,286.1243161737062,285.0041339158859,287.24449843152644,18.7563317249424,65.09224960937865,65.09224960937865,0.0,275.212799107358,49.09670327445208,226.11609583290596,49.09670327445208,-59.5049606156334,108.60166389008549,1979.1081448979073,-930.6506493841342,2909.7587942820414,930.6506493841342,900.4952723998201,30.155376984314103,,,,2048.73365501152,200,,67626.31431005943,111034.6769815533,82912.37954513822,69560.76228744938,0.4004454998007343
288.15,286.1243161725146,285.00413391403544,287.2444984309938,18.756331735975433,65.09224964766786,65.09224964766786,0.0,275.2127991255378,49.096703261787376,226.11609586375042,49.096703261787376,-59.50495964225236,108.60166290403973,1979.1081436847908,-930.6506494797444,2909.7587931645353,930.6506494797444,900.4952723998201,30.15537707992428,,,,2048.733652804913,200,,67626.31436772372,111034.67696771864,82912.37954838801,69560.76231662734,0.40044550019367803
288.15,286.12431617253696,285.00413391407017,287.24449843100376,18.756331735768434,65.09224964694948,65.09224964694948,0.0,275.2127991252414,49.09670326194353,226.1160958632979,49.09670326194353,-59.50495966540981,108.60166292735335,1979.1081437026116,-930.6506494745519,2909.7587931771636,930.6506494745519,900.4952723998201,30.155377074731746,,,,2048.7336528463134,200,,67626.31436636565,111034.67696790468,82912.37954821135,69560.76231594963,0.40044550018630565
288.15,286.12431617253753,285.004133914071,287.24449843100405,18.75633173576362,65.09224964693277,65.09224964693277,0.0,275.21279912518787,49.0967032620045,226.11609586318338,49.0967032620045,-59.50495966550948,108.60166292751398,1979.1081437035114,-930.6506494747617,2909.758793178273,930.6506494747617,900.4952723998201,30.15537707494161,,,,2048.733652847276,200,,67626.31436636124,111034.67696791612,82912.37954821851,69560.76231594666,0.4004455001861342
288.15,286.1243161725367,285.0041339140697,287.24449843100365,18.756331735771326,65.09224964695952,65.09224964695952,0.0,275.2127991252221,49.09670326195989,226.11609586326222,49.09670326195989,-59.5049596667303,108.60166292869019,1979.1081437007422,-930.6506494735061,2909.7587931742482,930.6506494735061,900.4952723998201,30.15537707368594,,,,2048.733652845735,200,,67626.31436629407,111034.67696787891,82912.37954817564,69560.76231591648,0.4004455001864086
