time_hour,R_g,Tf_i,Tf_o,Tf,Tb,X_in_ghe,X_out_ghe,X_c_ghe,X_in_ground,X_out_ground,X_c_ground
19.116440753857027,0.13615833643733774,22.597744261793864,19.610172560073025,21.103958410933444,18.403958410933445,398.8661318863383,151.2069003530892,247.65923153324908,260.2811035918795,198.86613188633828,61.414971705541234
20.255019392306675,0.13841461408792016,22.654151203058422,19.666579501337583,21.160365352198003,18.460365352198004,397.8605018697599,150.21961329137235,247.64088857838755,260.2811035918795,197.8605018697599,62.42060172211961
21.461411978584046,0.14067175275468263,22.710579669727483,19.723007968006645,21.216793818867064,18.516793818867065,396.85487728617335,149.23232806870712,247.62254921746623,260.2811035918795,196.85487728617335,63.426226305706166
22.739657523579286,0.14293087837223994,22.767057810166417,19.779486108445578,21.273271959305998,18.573271959306,395.8487570077705,148.2445526936113,247.60420431415918,260.2811035918795,195.8487570077705,64.43234658410901
24.094035602395255,0.14519187728051733,22.823582782873352,19.836011081152513,21.329796932012933,18.629796932012933,394.8421924263044,147.25633761588634,247.58585481041806,260.2811035918795,194.8421924263044,65.43891116557512
25.52908068239518,0.147454624950127,22.880151474613594,19.892579772892756,21.386365623753175,18.686365623753176,393.83523969101145,146.26773795680214,247.56750173420932,260.2811035918795,193.83523969101145,66.44586390086806
27.049597304631355,0.14971900862822074,22.93676106656594,19.9491893648451,21.44297521570552,18.74297521570552,392.8279496273533,145.27880361170625,247.54914601564704,260.2811035918795,192.8279496273533,67.45315396452622
28.660676169482517,0.15198492130539296,22.993408883495242,20.005837181774403,21.499623032634823,18.799623032634823,391.82037042933865,144.289581892961,247.53078853637766,260.2811035918795,191.82037042933865,68.46073316254086
30.36771118035459,0.15425226132944697,23.050092384096594,20.062520682375755,21.556306533236175,18.856306533236175,390.81254783611,143.30011770376498,247.51243013234503,260.2811035918795,190.81254783611,69.4685557557695
32.17641750250737,0.1565209321586207,23.106809154825935,20.119237453105097,21.613023303965516,18.913023303965517,389.80452524617664,142.31045364951535,247.49407159666129,260.2811035918795,189.80452524617664,70.47657834570288
34.09285069746813,0.15879084204530186,23.163556901992965,20.175985200272127,21.669771051132546,18.969771051132547,388.79634386226974,141.32063018088076,247.47571368138898,260.2811035918795,188.79634386226974,71.48475972960978
36.12342699709432,0.16106190378849797,23.220333445572866,20.232761743852027,21.726547594712446,19.026547594712447,387.7880428053591,140.33068570480222,247.4573571005569,260.2811035918795,187.7880428053591,72.4930607865204
38.27494478516313,0.16333403446007827,23.277136712362374,20.289565010641535,21.783350861501955,19.083350861501955,386.7796592400528,139.3406567082793,247.4390025317735,260.2811035918795,186.7796592400528,73.5014443518267
40.5546073584083,0.16560715510417054,23.333964728464682,20.346393026743844,21.840178877604263,19.140178877604264,385.7712285116364,138.35057789265502,247.4206506189814,260.2811035918795,185.77122851163642,74.50987508024309
42.97004704320842,0.1678811906474819,23.390815617047465,20.403243915326627,21.897029766187046,19.197029766187047,384.7627841892729,137.3604822156692,247.4023019736037,260.2811035918795,184.76278418927294,75.51831940260658
45.5293507486695,0.17015606952826984,23.447687589067165,20.460115887346326,21.953901738206746,19.253901738206746,383.75435823380974,136.37040105677139,247.38395717703835,260.2811035918795,183.7543582338097,76.5267453580698
48.241087041653714,0.17243172356004108,23.504578939861446,20.517007238140607,22.010793089001027,19.310793089001027,382.7459810612297,135.38036427890268,247.36561678232704,260.2811035918795,182.74598106122974,77.53512253064977
51.11433483440168,0.17470809347297944,23.561488187684905,20.573916485964066,22.067702336824485,19.367702336824486,381.73767909151593,134.39039782215474,247.3472812693612,260.2811035918795,181.73767909151596,78.54342450036356
54.158713780794734,0.17698509994499959,23.618413349485408,20.63084164776457,22.12462749862499,19.42462749862499,380.7294875804755,133.40053630212583,247.32895127834968,260.2811035918795,180.72948758047548,79.55161601140404
57.384416483023955,0.17926270096358146,23.675353374949953,20.687781673229114,22.181567524089534,19.481567524089535,379.72142521918033,132.41079807146988,247.31062714771045,260.2811035918795,179.72142521918033,80.55967837269918
60.80224261649424,0.18154083414138508,23.732306704395047,20.744735002674208,22.238520853534627,19.538520853534628,378.7135196822498,131.42121030298705,247.29230937926275,260.2811035918795,178.7135196822498,81.56758390962972
64.42363508721374,0.18381944526230973,23.78927198241816,20.80170028069732,22.29548613155774,19.59548613155774,377.7057949881855,130.43179658062127,247.27399840756425,260.2811035918795,177.70579498818552,82.575308603694
68.26071834272389,0.18609848244442084,23.846247911970938,20.8586762102501,22.35246206111052,19.65246206111052,376.6982740864021,129.44257943863357,247.2556946477685,260.2811035918795,176.69827408640205,83.58282950547746
72.32633896483537,0.1883778959380503,23.903233249311675,20.915661547590837,22.409447398451256,19.709447398451257,375.6909789484773,128.45358045171267,247.23739849676465,260.2811035918795,175.6909789484773,84.59012464340222
76.63410868007459,0.19065763801076746,23.960226801129604,20.972655099408765,22.466440950269185,19.766440950269185,374.6839306208192,127.46482028642116,247.219110334398,260.2811035918795,174.6839306208192,85.5971729710603
81.19844993184013,0.19293766280943145,24.017227421096205,21.029655719375366,22.523441570235786,19.823441570235786,373.6771492873446,126.47631876283131,247.2008305245133,260.2811035918795,173.67714928734458,86.60395430453494
86.03464416684504,0.19521792623873138,24.074234006828704,21.086662305107865,22.580448155968284,19.880448155968285,372.67065432472583,125.48809490859054,247.1825594161353,260.2811035918795,172.67065432472583,87.61044926715368
91.15888299750823,0.1974983858160793,24.1312454962624,21.143673794541563,22.637459645401982,19.937459645401983,371.6644643679466,124.50016702355236,247.16429734439424,260.2811035918795,171.66446436794658,88.61663922393294
96.58832241158703,0.19977900061190634,24.18826086615808,21.20068916443724,22.69447501529766,19.99447501529766,370.658597338057,123.51255270669772,247.1460446313593,260.2811035918795,170.658597338057,89.62250625382251
102.34114021054538,0.20205973108108174,24.24527912788746,21.257707426166622,22.75149327702704,20.051493277027042,369.6530705178445,122.52526893064044,247.1278015872041,260.2811035918795,169.6530705178445,90.62803307403502
108.43659686896109,0.20434053897428409,24.302299325217522,21.314727623496683,22.808513474357103,20.108513474357103,368.64790059211373,121.53833208111504,247.10956851099868,260.2811035918795,168.64790059211376,91.63320299976576
114.89510001873097,0.20662138727388157,24.359320532707457,21.37174883098662,22.865534681847038,20.16553468184704,367.6431036770731,120.5517579857709,247.0913456913022,260.2811035918795,167.64310367707313,92.63799991480639
121.7382727739662,0.208902240065093,24.416341852487744,21.428770150766905,22.922556001627324,20.222556001627325,366.6386953781463,119.56556197095759,247.0731334071887,260.2811035918795,166.63869537814625,93.64240821373326
128.98902612533095,0.2111830624561593,24.4733624122644,21.48579071054356,22.97957656140398,20.27957656140398,365.63469082609527,118.57975889720531,247.05493192888997,260.2811035918795,165.63469082609527,94.64641276578425
136.67163564620074,0.21346382049271553,24.530381363178307,21.54280966145747,23.036595512317888,20.33659551231789,364.63110471559014,117.59436319700903,247.0367415185811,260.2811035918795,164.63110471559017,95.64999887628935
144.81182276745344,0.21574448107598096,24.587397877759944,21.599826176039105,23.093612026899525,20.393612026899525,363.62795134203355,116.60938891106679,247.01856243096677,260.2811035918795,163.62795134203355,96.65315224984596
153.43684089300132,0.21802501188461795,24.64441114797587,21.65683944625503,23.15062529711545,20.45062529711545,362.62524463667046,115.624849722755,247.00039491391544,260.2811035918795,162.6252446366705,97.65585895520903
162.5755666443795,0.22030538129999527,24.7014203833603,21.713848681639462,23.20763453249988,20.507634532499882,361.62299820012936,114.64075899097917,246.98223920915018,260.2811035918795,161.6229982001294,98.65810539175013
172.25859653987874,0.22258555833465615,24.75842480922682,21.77085310750598,23.2646389583664,20.5646389583664,360.621225334483,113.6571297815738,246.96409555290916,260.2811035918795,160.62122533448297,99.65987825739654
182.51834943190443,0.22486551256378964,24.81542366495516,21.82785196323432,23.32163781409474,20.62163781409474,359.6199390739017,112.6739748977494,246.9459641761523,260.2811035918795,159.61993907390172,100.6611645179778
193.38917504552322,0.22714521405951504,24.872416202348294,21.884844500627455,23.378630351487875,20.678630351487875,358.6191522140234,111.69130690851058,246.92784530551285,260.2811035918795,158.61915221402344,101.66195137785607
204.90746898158483,0.22942463332780133,24.929401684055453,21.941829982334614,23.435615833195033,20.735615833195034,357.6188773400755,110.70913817638882,246.9097391636867,260.2811035918795,157.61887734007553,102.66222625180399
217.11179456945052,0.23170374124784368,24.98637938205651,21.99880768033567,23.49259353119609,20.79259353119609,356.6191268538753,109.72748088411247,246.8916459697628,260.2811035918795,156.61912685387526,103.66197673800426
230.0430119772919,0.23398250901372006,25.04334857620342,22.055776874482582,23.549562725343,20.849562725343002,355.6199129997593,108.74634705990027,246.87356593985905,260.2811035918795,155.6199129997593,104.66119059212022
