time_hour,X_f
1.0,206.12579591851588
1.059560179277616,205.63057977679878
1.1226677735108135,204.76162536238297
1.1895340673703196,204.27554147753324
1.2603829296797275,203.41468321203314
1.3354515629298989,203.1505598173622
1.414991297434576,202.19963957041176
1.4992684327860457,201.2313687753575
1.5885651294280527,200.12330396565693
1.6831803533309568,199.4681700266998
1.7834308769319096,198.65639877875708
1.88965233969121,197.87784201577452
2.0022003718155847,196.55990258411805
2.1214517849106302,195.7026055594291
2.2478058335487257,194.1899122160473
2.3816855519761586,193.24329222157212
2.5235391704347663,191.8814517567624
2.673841615839947,190.8264188626352
2.8330961018393244,189.63311301807062
3.0018358135755894,188.29321282480828
3.18062569279412,187.49148007840887
3.370064329271929,185.96679767833746
3.5707859649004634,184.44243833805163
3.78346261713193,183.32885441722624
4.008806328898466,181.64567735045046
4.2475715525368996,180.56828023255588
4.500557675700499,179.19034284207268
4.768611697714471,178.28103835857533
5.052631065335681,177.17437378272473
5.353566677410726,176.10482548093387
5.672426068491979,175.13336693651738
6.010276782070383,173.81390487814508
6.368249944718587,172.65192625424697
6.747544053110695,171.5404944650656
7.149428986597578,170.29215393593256
7.575250258771915,169.01521866279913
8.026433522257175,167.82812992315988
8.50448934180268,166.31262019978556
9.011018251665021,165.24895156048825
9.54771611420806,164.15282405642606
10.116379797662075,163.11084853824488
10.71891319205128,161.7723934614135
11.357333583431057,160.75309629996815
12.033778407775898,159.73155440832775
12.750512407130135,158.70568561293652
13.509935211980272,157.67030114418267
14.314589375234792,156.6690501612511
15.167168884709232,155.57462179816574
16.070528182616393,154.53188901676796
17.027691722259004,153.4804882047225
18.041864093920726,152.4117076793241
19.116440753857027,151.16264938470292
20.255019392306675,150.1753877615497
21.461411978584046,149.18812796761105
22.739657523579286,148.2003780241292
24.094035602395255,147.2121883795785
25.52908068239518,146.22361415381312
27.049597304631355,145.23470524083092
28.660676169482517,144.24550895189347
30.36771118035459,143.2560701888397
32.17641750250737,142.26643155620056
34.09285069746813,141.2766335033666
36.12342699709432,140.28671443649165
38.27494478516313,139.296710841571
40.5546073584083,138.3066574189462
42.97004704320842,137.31658712568984
45.5293507486695,136.32653134032614
48.241087041653714,135.33651992509
51.11433483440168,134.34657881940427
54.158713780794734,133.35674263803222
57.384416483023955,132.36702973299265
60.80224261649424,131.3774672766288
64.42363508721374,130.38807885207504
68.26071834272389,129.39888699316393
72.32633896483537,128.4099132739902
76.63410868007459,127.42117836061384
81.19844993184013,126.43270207256974
86.03464416684504,125.44450343710767
91.15888299750823,124.45660075353527
96.58832241158703,123.46901162045731
102.34114021054538,122.4817530100597
108.43659686896109,121.49484130764887
114.89510001873097,120.50829234048433
121.7382727739662,119.52212143454766
128.98902612533095,118.53634344998088
136.67163564620074,117.55097281896609
144.81182276745344,116.56602358185886
153.43684089300132,115.58150942166168
162.5755666443795,114.59744369695434
172.25859653987874,113.61383947335435
182.51834943190443,112.63070955362275
193.38917504552322,111.64806650648784
204.90746898158483,110.66592269425635
217.11179456945052,109.68429029932226
230.0430119772919,108.70318134961754
243.74441501222216,107.72260774305154
258.2618760682677,106.74258127111646
273.6439997074672,105.76311364167034
289.9422853882878,104.78421650055081
307.21129988617594,103.80590145316005
325.508859983506,102.82818008474304
344.896226040576,101.85106398035492
365.4383070957258,100.87456474415669
387.20387818125573,99.89869401822338
410.26581058271944,98.92346350084624
434.7013158125026,97.94888496440946
460.5922041145108,96.97497027287282
488.02515836544336,96.00173139888813
517.092024289676,95.02918044060893
547.8901179593945,94.05732963830182
580.5225516094902,93.08619139031582
615.0985788580505,92.1157782695392
651.7339604882427,91.14610303906589
690.5513520162331,90.17717866795616
731.68071434272,89.20901834686634
775.2597488629465,88.24163550356533
821.434358491943,87.27504381839557
870.3591361485165,86.30925723970728
922.1978823334332,85.34428999923627
977.1241535346502,84.3801566275848
1035.3218432956626,83.41687196966375
1096.985797892384,82.45445120023676
1162.322468679853,81.49290983954893
1231.550603292826,80.53226376905864
1304.9019780144029,79.57252924731594
1382.6221737646563,78.61372292599312
1464.9713983072863,77.65586186608053
1552.225357427048,76.69896355430694
1644.6761779946644,75.7430459197661
1742.6333860096508,74.7881273507789
1846.4249428955445,73.83422671204065
1956.3983435170649,72.88136336202622
2072.921779595372,71.92955717071459
2196.385372416547,70.97882853764115
2327.2024789604097,70.0291984102741
2465.811075822604,69.0806883027828
2612.675225563329,68.13332031517349
2768.2866303920664,67.18711715282933
2933.166278390045,66.24210214649318
3107.866187782014,65.29829927267916
3292.9712550971512,64.35573317456588
3489.1012134067737,63.41442918336382
3696.9127071950284,62.47441334020887
3917.1014908092607,61.5357124185778
4150.404757850477,60.59835394725543
4397.603609302721,59.662366233878
4659.525668664682,58.7277783890805
4937.047852839004,57.79462035125471
5231.099308056264,56.86292291195328
5542.664520663107,55.93271774196773
5872.7866131894825,55.004037418079356
6222.570836730231,54.07691545054716
6593.188271333548,53.15138631131755
6985.879746785249,52.22748546300782
7401.959996915644,51.30524938867897
7842.822061337682,50.38471562242797
8309.941949353395,49.4659227808214
8804.883581643464,48.548910595203054
9329.304026284686,47.6337199449095
9884.959046625587,46.72039289140173
10473.708979594508,45.808972713375915
11097.524964120721,44.899503942847915
11758.495540521582,43.992032402273566
12458.833642950081,43.08660524271701
13200.884008314195,42.18327098311158
13987.131026472387,41.28207955064078
14820.2070579886,40.383082322277275
15702.901247293774,39.48633216751985
16638.168860761307,38.59188349235598
17629.14118095948,37.699792284491274
18679.135990207847,36.810116159899934
19791.668678535574,35.92291441071316
20970.46401323235,35.03824805449418
