Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ATTIC:Zone Air Temperature [C](TimeStep),CORE_ZN:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_1:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_2:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_3:Zone Air Temperature [C](TimeStep),PERIMETER_ZN_4:Zone Air Temperature [C](TimeStep),ATTIC IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),ATTIC IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),CORE_ZN IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),CORE_ZN IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),PERIMETER_ZN_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),PERIMETER_ZN_1 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),PERIMETER_ZN_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),PERIMETER_ZN_2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),PERIMETER_ZN_3 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),PERIMETER_ZN_3 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),PERIMETER_ZN_4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](TimeStep),PERIMETER_ZN_4 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](TimeStep),DistrictCooling:Facility [J](TimeStep),DistrictHeatingWater:Facility [J](TimeStep) 
 01/01  11:00:00,0.7,3.2190739416418586,15.600000000000005,16.694520268293626,16.073607892418863,15.600000000000003,15.600000000000005,0.0,0.0,664644.6595572708,3.611228962921921e-11,0.0,0.0,0.0,0.0,300557.88209013286,5.115907697472721e-11,282370.09951345477,3.0093574691016006e-12,0.0,1247572.6411608583 
 01/01  12:00:00,2.7,8.415522776729736,15.600000000000003,17.36268523465243,16.10538754659936,15.634469773104358,15.644762367934794,0.0,0.0,45893.11012888975,2.8421709430404007e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45893.11012888975 
 01/01  13:00:00,3.2,11.769125346105614,15.656065508412588,17.49865709035836,16.07165226494437,15.725370680365051,15.763257041144119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  14:00:00,3.6,12.913701301101439,15.706969341919637,17.466661622727944,16.06446358654665,15.754103466761526,15.838533936542603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  15:00:00,4.1,11.847644762799106,15.742418861485405,17.108263470002402,16.012721974339453,15.737604641985746,15.841165381197362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  16:00:00,4.0,9.671438193969175,15.725084702754508,16.757677815239006,15.887992422605803,15.648481058558465,15.705373397903156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
 01/01  17:00:00,3.9,7.194502241437116,15.699366217719458,16.46588689126007,15.748034711260432,15.600001263410434,15.601802423144752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147825.97099169943,1.1368683772161603e-11,82561.24840075609,7.105427357601002e-12,0.0,230387.21939245553 
 01/01  18:00:00,3.8,4.0589848913999935,15.67059767080803,16.28360734758083,15.643975157664954,15.600000000185792,15.600000310595737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328818.1340969319,1.395247553856197e-11,230660.79590551776,9.301650359041313e-12,0.0,559478.9300024497 
 01/01  19:00:00,3.6,2.34375722744587,15.643758092150861,16.172007614808454,15.600000181972636,15.600000000000088,15.600000000192026,0.0,0.0,0.0,0.0,0.0,0.0,26199.460375457056,0.0,390808.3759338304,3.410605131648481e-11,300815.3737505414,1.7053025658242404e-11,0.0,717823.2100598288 
 01/01  20:00:00,3.5,1.1426432146807373,15.630681112247116,16.106389168214896,15.600000000053914,15.600000000000001,15.60000000000023,0.0,0.0,0.0,0.0,0.0,0.0,72849.04813773511,9.592326932761353e-12,392694.5651400669,2.5579538487363607e-11,315075.26909767615,1.2789769243681803e-11,0.0,780618.882375478 
