Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ATTIC:Zone Air Temperature [C](Hourly),CORE_ZN:Zone Air Temperature [C](Hourly),PERIMETER_ZN_1:Zone Air Temperature [C](Hourly),PERIMETER_ZN_2:Zone Air Temperature [C](Hourly),PERIMETER_ZN_3:Zone Air Temperature [C](Hourly),PERIMETER_ZN_4:Zone Air Temperature [C](Hourly),ExteriorLights:Electricity [J](Hourly),Fans:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),Electricity:Facility [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeatingWater:Facility [J](Hourly) 
 01/01  12:00:00,1.8666666666666665,8.262709250391653,14.732825764936088,15.734490053342476,14.318402510572591,13.86105679733591,13.735729041790208,0.0,0.0,5940057.91392,990009.6523200001,6930067.5662400015,0.0,0.0 
 01/01  13:00:00,2.991666666666667,12.008722104089685,14.916930488359819,15.972113047068428,14.366424555244556,14.081763938432381,14.011548076087758,0.0,0.0,5940057.91392,990009.6523200001,6930067.5662400015,0.0,0.0 
 01/01  14:00:00,3.4333333333333336,13.121579140062378,15.00883458200623,15.893089824779189,14.424932928556418,14.184775714442743,14.161416908947572,0.0,0.0,5940057.91392,990009.6523200001,6930067.5662400015,0.0,0.0 
 01/01  15:00:00,3.891666666666667,12.242380716330757,15.066806056177441,15.590957315501372,14.424809723176642,14.21815935389968,14.238114772907325,0.0,0.0,5940057.91392,990009.6523200001,6930067.5662400015,0.0,0.0 
 01/01  16:00:00,4.041666666666667,10.134273620185512,15.086281132172884,15.251102025077259,14.351044957823577,14.18374162064462,14.149960131574895,0.0,0.0,5940057.91392,990009.6523200001,6930067.5662400015,0.0,0.0 
 01/01  17:00:00,3.9416666666666664,6.867943016886801,15.074669682201908,14.98378864854562,14.227773184876012,14.096490414947583,14.004434301227567,0.0,0.0,5940057.91392,990009.6523200001,6930067.5662400015,0.0,0.0 
 01/01  18:00:00,3.841666666666667,3.595215223501642,15.062306494722494,14.824466657336279,14.134566166277637,14.033524957349492,13.913603741060063,5527200.0,0.0,5940057.91392,990009.6523200001,12457267.566240001,0.0,0.0 
 01/01  19:00:00,3.6833333333333336,1.4243050617830662,15.052985873452256,14.737718306823991,14.085827172206349,14.005369716508381,13.871288103090736,8290800.0,0.0,5940057.91392,990009.6523200001,15220867.566240001,0.0,0.0 
 01/01  20:00:00,3.5416666666666665,0.20224026209635906,15.048245676706848,14.682152206852697,14.061012451586306,13.998356944262346,13.854597378591224,8290800.0,0.0,5940057.91392,990009.6523200001,15220867.566240001,0.0,0.0 
 01/01  21:00:00,3.3833333333333333,-0.46576537441682336,15.047397490155307,14.638466273002464,14.044007528426528,13.997806486796007,13.846215017166095,8290800.0,0.0,5940057.91392,990009.6523200001,15220867.566240001,0.0,0.0 
